logo_img,company_name,vessel_name,origin,destination,dep_time,arr_time,duration,trans,of20,of40
https://www.tradlinx.com/images/carrier/shipping_com_SKR.gif,Sinokor,HEUNG-A HOCHIMINH 2406W,Busan,Shanghai,2024.04.19 (Fri),2024.04.20 (Sat),1 days,Direct,$100.00,$199.00
https://www.tradlinx.com/images/carrier/shipping_com_HAS.gif,HEUNG-A,HEUNG-A HOCHIMINH 2406W,Busan,Shanghai,2024.04.19 (Fri),2024.04.20 (Sat),1 days,Direct,$101.00,$202.00
https://www.tradlinx.com/images/carrier/shipping_com_COA.gif,COSCO,EASLINE DALIAN 2414W,Busan,Shanghai,2024.04.19 (Fri),2024.04.22 (Mon),3 days,Direct,$44.00,$88.00
https://www.tradlinx.com/images/carrier/shipping_com_SIT.gif,SITC,CKI CKI,Busan,Shanghai,2024.04.19 (Fri),2024.04.20 (Sat),1 days,Direct,$1.00,$2.00
https://www.tradlinx.com/images/carrier/shipping_com_CKL.gif,CK Line,TC MESSENGER 2413W,Busan,Shanghai,2024.04.19 (Fri),2024.04.21 (Sun),2 days,Direct,$247.00,$493.00
https://www.tradlinx.com/images/carrier/shipping_com_ONE.gif,ONE,LORRAINE 024S,Busan,Shanghai,2024.04.19 (Fri),2024.04.23 (Tue),4 days,Direct,$54.00,$108.00
https://www.tradlinx.com/images/carrier/shipping_com_EMC.gif,Evergreen,EVER BRAVE NSB 1970-072S,Busan,Shanghai,2024.04.19 (Fri),2024.04.20 (Sat),1 days,Direct,,
https://www.tradlinx.com/images/carrier/shipping_com_SML.gif,SM Line,KMTC BANGKOK 2405S,Busan,Shanghai,2024.04.19 (Fri),2024.04.20 (Sat),1 days,Direct,$101.00,$202.00
https://www.tradlinx.com/images/carrier/shipping_com_EMC.gif,Evergreen,TB BRIGHT CITY PCI 2404S,Busan,Shanghai,2024.04.19 (Fri),2024.04.21 (Sun),2 days,Direct,,
https://www.tradlinx.com/images/carrier/shipping_com_PCL.gif,Pancon,TC MESSENGER 2413W,Busan,Shanghai,2024.04.19 (Fri),2024.04.21 (Sun),2 days,Direct,$100.00,$199.00
https://www.tradlinx.com/images/carrier/shipping_com_TSL.gif,TS Line,LORRAINE 024S,Busan,Shanghai,2024.04.19 (Fri),2024.04.23 (Tue),4 days,Direct,$1.00,$2.00
https://www.tradlinx.com/images/carrier/shipping_com_SKR.gif,Sinokor,TB BRIGHT CITY 2404S,Busan,Shanghai,2024.04.20 (Sat),2024.04.22 (Mon),2 days,Direct,$100.00,$199.00
https://www.tradlinx.com/images/carrier/shipping_com_HSL.gif,HanSung,TB BRIGHT CITY 2404S,Busan,Shanghai,2024.04.20 (Sat),2024.04.22 (Mon),2 days,Direct,$100.00,$199.00
https://www.tradlinx.com/images/carrier/shipping_com_PCS.gif,DongYoung,EASLINE DALIAN ESDL2415W,Busan,Shanghai,2024.04.20 (Sat),2024.04.24 (Wed),4 days,Direct,$101.00,$202.00
https://www.tradlinx.com/images/carrier/shipping_com_HAS.gif,HEUNG-A,TB BRIGHT CITY 2404S,Busan,Shanghai,2024.04.20 (Sat),2024.04.22 (Mon),2 days,Direct,$101.00,$202.00
https://www.tradlinx.com/images/carrier/shipping_com_DJS.gif,DongJin,EASLINE DALIAN 2415W,Busan,Shanghai,2024.04.20 (Sat),2024.04.24 (Wed),4 days,Direct,$101.00,$202.00
https://www.tradlinx.com/images/carrier/shipping_com_DJS.gif,DongJin,QI YUN HE 0434W,Busan,Shanghai,2024.04.20 (Sat),2024.04.24 (Wed),4 days,Direct,$101.00,$202.00
https://www.tradlinx.com/images/carrier/shipping_com_COA.gif,COSCO,QIYUNHE 434W,Busan,Shanghai,2024.04.20 (Sat),2024.04.24 (Wed),4 days,Direct,$44.00,$88.00
https://www.tradlinx.com/images/carrier/shipping_com_SIT.gif,SITC,CJV3 CJV3,Busan,Shanghai,2024.04.20 (Sat),2024.04.21 (Sun),1 days,Direct,$1.00,$2.00
https://www.tradlinx.com/images/carrier/shipping_com_CKL.gif,CK Line,TB BRIGHT CITY 2404S,Busan,Shanghai,2024.04.20 (Sat),2024.04.22 (Mon),2 days,Direct,$247.00,$493.00
